SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
0.0,0.0,0.0,0.0,1.64,0.0,0.0
0.0,0.0,0.0,0.0,1.34,0.0,0.0
0.0,0.0,0.0,0.0,1.63,0.0,0.0
0.0,0.0,0.0,0.0,1.82,0.0,0.0
0.0,0.0,0.0,0.0,1.31,0.0,0.0
0.0,0.0,0.0,0.0,0.99,0.0,0.0
0.0,0.0,0.0,0.0,1.2,0.0,0.0
0.0,0.0,0.3,0.0,2.21,0.0,0.0
0.0,0.0,0.2,0.0,2.12,0.0,0.0
0.0,0.0,0.3,0.0,2.47,0.0,0.0
63.0,0.0,0.6,0.0,3.0,0.0,0.0
139.0,0.0,1.0,0.0,3.92,0.0,0.0
160.0,0.0,2.2,0.0,5.48,0.0,0.0
190.0,0.0,2.9,0.0,6.23,0.0,0.0
175.0,0.0,2.1,0.0,6.33,0.0,0.0
115.0,0.0,2.6,0.0,6.8,0.0,0.0
76.0,0.0,2.7,0.0,6.44,0.0,0.0
32.0,0.0,1.7,0.0,5.43,0.0,0.0
11.0,0.0,0.8,0.0,4.98,0.0,0.0
0.0,1.0,0.3,10.0,4.59,0.0,0.0
0.0,1.8,1.7,60.0,3.97,0.0,0.0
0.0,0.4,1.0,60.0,3.0,0.0,0.0
0.0,0.4,1.3,60.0,2.85,0.0,0.0
0.0,0.2,1.7,60.0,2.62,0.0,0.0
0.0,0.4,1.3,60.0,2.0,0.0,0.0
0.0,0.0,0.1,60.0,1.17,0.0,0.0
0.0,0.0,0.1,30.0,1.05,0.0,0.0
0.0,0.0,0.1,0.0,1.16,0.0,0.0
0.0,0.4,0.6,35.0,1.26,0.0,0.0
0.0,0.0,0.3,60.0,1.32,0.0,0.0
0.0,0.0,0.3,30.0,1.34,0.0,0.0
0.0,0.0,0.1,0.0,1.1,0.0,0.0
0.0,0.0,0.8,0.0,0.87,0.0,0.0
0.0,0.0,0.1,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,-0.27,0.0,0.0
182.0,0.0,1.4,0.0,0.82,0.0,0.0
289.0,0.0,2.4,0.0,2.32,0.0,0.0
392.0,0.0,2.8,0.0,3.51,0.0,0.0
405.0,0.0,3.6,0.0,4.05,0.0,0.0
260.0,0.0,3.7,0.0,3.92,0.0,0.0
140.0,0.0,3.0,0.0,3.84,0.0,0.0
82.0,0.0,2.9,0.0,4.0,0.0,0.0
21.0,0.0,1.6,0.0,3.45,0.0,0.0
0.0,0.0,0.9,0.0,3.03,0.0,0.0
0.0,0.0,0.0,0.0,2.58,0.0,0.0
0.0,0.0,0.0,0.0,2.43,0.0,0.0
0.0,0.0,0.7,0.0,2.57,0.0,0.0
0.0,0.0,2.5,0.0,3.1,0.0,0.0
0.0,0.0,3.0,0.0,3.37,0.0,0.0
0.0,0.0,3.4,0.0,3.79,0.0,0.0
0.0,0.2,5.5,0.0,3.93,0.0,0.0
